Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Shaquille O'Neal\onealsh01,0.145,31,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0,0.49,9.9,0.192
Ben Wallace\wallabe01,0.02,29,81,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16
Jason Kidd\kiddja01,0.014,30,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141
LeBron James\jamesle01,0.009,19,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
Sam Cassell\cassesa01,0.003,34,81,35,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
Baron Davis\davisba01,0.003,24,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133
Dirk Nowitzki\nowitdi01,0.003,25,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19
Andrei Kirilenko\kirilan01,0.002,22,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192
Carmelo Anthony\anthoca01,0.001,19,82,36.5,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098
Yao Ming\mingya01,0.001,23,82,32.8,17.5,9,1.5,0.3,1.9,0.522,0,0.809,11.4,0.202
Michael Redd\reddmi01,0.001,24,82,36.8,21.7,5,2.3,1,0.1,0.44,0.35,0.868,9.7,0.154
