Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Bernard King\kingbe01,0.09,28,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166
Sidney Moncrief\moncrsi01,0.083,27,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197
Isiah Thomas\thomais01,0.081,23,81,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173
Ralph Sampson\sampsra01,0.033,24,82,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096
Calvin Natt\nattca01,0.028,28,78,34.1,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,0.185
Alex English\englial01,0.015,31,81,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,0.146
Hakeem Olajuwon\olajuha01,0.015,22,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,10.2,0.168
Micheal Ray Richardson\richami01,0.014,29,82,38.1,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,0.134
Andrew Toney\toneyan01,0.006,27,70,32,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,5.5,0.118
Mark Eaton\eatonma01,0.005,28,82,34.3,9.7,11.3,1.5,0.4,5.6,0.449,0,0.712,5.4,0.093
Paul Pressey\presspa01,0.004,26,80,36,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,9.6,0.16
Jack Sikma\sikmaja01,0.004,29,68,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3,0.166
Dominique Wilkins\wilkido01,0.004,25,81,37.3,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.806,7.6,0.121
World B. Free\freewo01,0.003,31,71,31.7,22.5,3,4.5,1.1,0.2,0.459,0.368,0.749,6,0.127
Purvis Short\shortpu01,0.003,27,78,39.5,28,5.1,3,1.5,0.3,0.46,0.313,0.817,6.2,0.097
Clyde Drexler\drexlcl01,0.001,22,80,31.9,17.2,6,5.5,2.2,0.9,0.494,0.216,0.759,7.5,0.141
Julius Erving\ervinju01,0.001,34,78,32.5,20,5.3,3,1.7,1.4,0.494,0.214,0.765,7.6,0.144
Larry Bird\birdla01,0.981,29,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
Dominique Wilkins\wilkido01,0.522,26,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17
